province,city,district,street,community,full_address,lat,lng
福建省,泉州市,南安市,,,福建省泉州市南安市码头镇大庭村,25.2024,118.321281
福建省,泉州市,南安市,,,福建省泉州市南安市英都镇良山村,24.9666,118.236717
福建省,泉州市,南安市,,,福建省泉州市南安市仑苍镇园美村,25.015791,118.280746
福建省,泉州市,南安市,,,福建省泉州市南安市仑苍镇湖西新村,25.005079,118.284332
福建省,泉州市,南安市,,,福建省泉州市南安市仑苍镇联盟村,25.007139,118.291061
福建省,泉州市,南安市,,水头菜市场桥西街,福建省泉州市南安市水头菜市场桥西街,24.708244,118.430664
福建省,泉州市,南安市,美林街道,溪口村,福建省泉州市南安市美林街道溪口村,24.99119,118.473648
福建省,泉州市,南安市,美林街道,西美村,福建省泉州市南安市美林街道西美村,24.98402,118.393318
福建省,泉州市,南安市,,,福建省泉州市南安市洪梅镇梅溪村,25.1234,118.537582
福建省,泉州市,晋江市,新塘街道,杏坂社区,福建省泉州市晋江市新塘街道杏坂社区,24.78231,118.620865
福建省,泉州市,晋江市,新塘街道,沙塘社区,福建省泉州市晋江市新塘街道沙塘社区,24.785004,118.597733
福建省,泉州市,晋江市,,,福建省泉州市晋江市英林镇嘉排村,24.59651,118.561378
福建省,泉州市,晋江市,,,福建省泉州市晋江市英林镇西埔村,24.619471,118.573624
福建省,泉州市,晋江市,梅岭街道,泉安中路速8酒店,福建省泉州市晋江市梅岭街道泉安中路速8酒店,24.809299,118.583412
福建省,泉州市,晋江市,,晋南小区,福建省泉州市晋江市英林镇英林村晋南小区,24.632277,118.583138
福建省,泉州市,晋江市,,万佳东方酒店,福建省泉州市晋江市金井镇万佳东方酒店,24.567921,118.595688
福建省,泉州市,晋江市,,,福建省泉州市晋江市东石镇山兜村,24.659781,118.459267
福建省,泉州市,晋江市,,,福建省泉州市晋江市陈埭镇花厅口村,24.81802,118.606918
福建省,泉州市,晋江市,,,福建省泉州市晋江市磁灶镇张林村,24.80127,118.521889
福建省,泉州市,晋江市,,,福建省泉州市晋江市磁灶镇东山村,24.793699,118.526878
福建省,泉州市,鲤城区,浮桥街道延陵社区,珑景湾小区,福建省泉州市鲤城区浮桥街道延陵社区珑景湾小区,24.93256,118.556358
福建省,泉州市,丰泽区,东海街道海景社区,海景国际星域,福建省泉州市丰泽区东海街道海景社区海景国际星域,24.874359,118.624557
福建省,泉州市,丰泽区,城东街道浔美社区,东莲花苑,福建省泉州市丰泽区城东街道浔美社区东莲花苑,24.91396,118.649406
福建省,厦门市,思明区,,假日大厦,福建省厦门市思明区假日大厦,24.481844,118.127289
福建省,厦门市,思明区,,武夷嘉园,福建省厦门市思明区武夷嘉园,24.47613,118.083298
福建省,厦门市,思明区,,,福建省厦门市思明区洪文石村北片区,24.4818,118.169197
福建省,厦门市,思明区,环岛路,曾厝垵社,福建省厦门市思明区环岛路曾厝垵社,24.42701,118.124977
福建省,厦门市,思明区,,碧湖豪庭,福建省厦门市思明区碧湖豪庭,24.48451,118.116814
福建省,厦门市,思明区,,,福建省厦门市思明区莲坂新村,24.481501,118.11731
福建省,厦门市,思明区,,黄厝塔头,福建省厦门市思明区黄厝塔头,24.43417,118.140663
福建省,厦门市,思明区,内厝澳路,,福建省厦门市思明区鼓浪屿内厝澳路,24.444639,118.067146
福建省,厦门市,思明区,环岛路黄厝村,,福建省厦门市思明区环岛路黄厝村,24.433599,118.145683
福建省,厦门市,思明区,,金象嘉园二期,福建省厦门市思明区金象嘉园二期,24.47241,118.106552
福建省,厦门市,思明区,筼筜街道,半山御景5号,福建省厦门市思明区筼筜街道半山御景5号,24.496262,118.113739
